Dataset;Name;Test Index;P.1;P.2;P.3;Cost;Accuracy;Nof.Feature;Time;Feature.Selection;MAB.rewards;MAB.visits
anneal-preprocessed;DPSO (Grid-Search Best);1;1250;50%;c1:2.5,c2:2.5;0.06196640769515335;0.9410613207547168;9;107.14789962768555;1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);1;1875;75%;c1:2.5,c2:2.5;0.06196640769515335;0.9410613207547168;9;163.04835152626038;1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);1;2500;100%;c1:2.5,c2:2.5;0.06196640769515335;0.9410613207547168;9;219.31189680099487;1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);2;625;25%;c1:2.5,c2:2.5;0.06417332593414733;0.939811320754717;9;51.723243951797485;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);2;1250;50%;c1:2.5,c2:2.5;0.06417332593414733;0.939811320754717;9;107.14203763008118;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);2;1875;75%;c1:2.5,c2:2.5;0.06417332593414733;0.939811320754717;9;162.9716351032257;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);2;2500;100%;c1:2.5,c2:2.5;0.06417332593414733;0.939811320754717;9;219.32875871658325;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);3;625;25%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;51.97295117378235;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);3;1250;50%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;106.7936327457428;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);3;1875;75%;c1:2.5,c2:2.5;0.05961346651868277;0.9385534591194968;8;162.3556046485901;1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
